2014-08-01 20:15:44 status unpacked zlib1g:armhf 1:1.2.7.dfsg-13
2014-08-01 20:15:44 status unpacked zlib1g:armhf 1:1.2.7.dfsg-13
2014-08-01 20:15:44 startup packages configure
2014-08-01 20:15:44 configure lsb-base:all 4.1+Debian8+deb7u1 <none>
2014-08-01 20:15:44 status unpacked lsb-base:all 4.1+Debian8+deb7u1
2014-08-01 20:15:44 status half-configured lsb-base:all 4.1+Debian8+deb7u1
2014-08-01 20:15:44 status installed lsb-base:all 4.1+Debian8+deb7u1
2014-08-01 20:15:44 configure ncurses-base:all 5.9-10 <none>
2014-08-01 20:15:44 status unpacked ncurses-base:all 5.9-10
2014-08-01 20:15:44 status unpacked ncurses-base:all 5.9-10
2014-08-01 20:15:44 status half-configured ncurses-base:all 5.9-10
2014-08-01 20:15:44 status installed ncurses-base:all 5.9-10
2014-08-01 20:15:44 configure sensible-utils:all 0.0.7 <none>
2014-08-01 20:15:44 status unpacked sensible-utils:all 0.0.7
2014-08-01 20:15:44 status half-configured sensible-utils:all 0.0.7
